# Words whose schwa nothing has verified, most frequent first.
# Answer one question per row: is each marked e the vowel of 'enak' (e)
# or of 'sedang' (schwa)? Put y or n in the last column; leave blank if unsure.
# The first 500 rows carry 77% of this group's weight in running text.
freq	word	pronunciation	schwa_decision	correct
4	bose	b o s ə	e1=ə	
4	berprestasi	b ə r p r e s t a s i	e1=ə e2=e	
4	berpotensi	b ə r p o t e n s i	e1=ə e2=e	
4	berkomitmen	b ə r k o m i t m e n	e1=ə e2=e	
4	bergengsi	b ə r ɡ e ŋ s i	e1=ə e2=e	
4	beni	b ə n i	e1=ə	
4	arkea	a r k ə a	e1=ə	
4	apresiasi	a p r e s i a s i	e1=e	
4	adenina	a d e n i n a	e1=e	
3	williamite	w i l l i a m i t e e	?	
3	willem	w i l l e m	e1=e	
3	vertebrata	v ə r t ə b r a t a	e1=ə e2=ə	
3	varisela	v a r i s e l a	e1=e	
3	variabel	v a r i a b ə l	e1=ə	
3	thames	t h a m ə s	e1=ə	
3	thales	t h a l e s	e1=e	
3	testis	t e s t i s	e1=e	
3	terdelokalisasi	t ə r d e l o k a l i s a s i	e1=ə e2=e	
3	teoritis	t ə o r i t i s	e1=ə	
3	tekstil	t e k s t i l	e1=e	
3	taoisme	t a o i s m ə	e1=ə	
3	tangerang	t a ŋ ə r a ŋ	e1=ə	
3	taipei	t a j p e i	e1=e	
3	survey	s u r v e j	e1=e	
3	supersimetri	s u p ə r s i m e t r i	e1=ə e2=e	
3	superkonduktivitas	s u p ə r k o n d u k t i v i t a s	e1=ə	
3	super	s u p ə r	e1=ə	
3	sumberdaya	s u m b ə r d a j a	e1=ə	
3	subspesies	s u b s p e s i e s	e1=e e2=e	
3	subkeluarga	s u b k ə l u a r ɡ a	e1=ə	
3	subjektif	s u b d͡ʒ e k t i f	e1=e	
3	sterling	s t e r l i ŋ	e1=e	
3	somare	s o m a r e	e1=e	
3	skeptisisme	s k e p t i s i s m ə	e1=e e2=ə	
3	skenario	s k ə n a r i o	e1=ə	
3	simpleks	s i m p l ə k s	e1=ə	
3	silabel	s i l a b ə l	e1=ə	
3	seremonial	s ə r ə m o n i a l	e1=ə e2=ə	
3	senyulong	s ə ɲ u l o ŋ	e1=ə	
3	semit	s ə m i t	e1=ə	
3	seljuk	s e l d͡ʒ u k	e1=e	
3	selimbau	s e l i m b a w	e1=e	
3	sekuens	s ə k u ə n s	e1=ə e2=ə	
3	sekar	s ə k a r	e1=ə	
3	see	s ə ə	e1=ə e2=ə	
3	revisi	r e v i s i	e1=e	
3	retrovirus	r e t r o v i r u s	e1=e	
3	respirasi	r e s p i r a s i	e1=e	
3	rerata	r ə r a t a	e1=ə	
3	relativistik	r e l a t i v i s t i k	e1=e	
3	rejang	r ə d͡ʒ a ŋ	e1=ə	
3	reduktor	r e d u k t o r	e1=e	
3	redaksi	r ə d a k s i	e1=ə	
3	reaktor	r e a k t o r	e1=e	
3	reaktivitas	r e a k t i v i t a s	e1=e	
3	reaktan	r e a k t a n	e1=e	
3	punden	p u n d e n	e1=e	
3	preposisional	p r e p o s i s i o n a l	e1=e	
3	potter	p o t t e r	e1=e	
3	perlis	p e r l i s	e1=e	
3	perfektif	p ə r f e k t i f	e1=ə e2=e	
3	perebutan	p ə r ə b u t a n	e1=ə e2=ə	
3	peptidoglikan	p e p t i d o ɡ l i k a n	e1=e	
3	penning	p e n n i ŋ	e1=e	
3	pengkodean	p ə ŋ k o d e a n	e1=ə e2=e	
3	pengeraman	p ə ŋ ə r a m a n	e1=ə e2=ə	
3	patriotisme	p a t r i o t i s m ə	e1=ə	
3	patogenik	p a t o ɡ e n i k	e1=e	
3	parole	p a r o l e	e1=e	
3	pangkajene	p a ŋ k a d͡ʒ ə n e	e1=ə e2=e	
3	pane	p a n e	e1=e	
3	osteologi	o s t e o l o ɡ i	e1=e	
3	omzet	o m z e t	e1=e	
3	oliver	o l i v ə r	e1=ə	
3	nukleosintesis	n u k l e o s i n t e s i s	e1=e e2=e	
3	nukleoprotein	n u k l e o p r o t e i n	e1=e e2=e	
3	nero	n ə r o	e1=ə	
3	nature	n a t u r e	e1=e	
3	multimedia	m u l t i m e d i a	e1=e	
3	molekulnya	m o l ə k u l ɲ a	e1=ə	
3	moderen	m o d e r ə n	e1=e e2=ə	
3	mikronesia	m i k r o n e s i a	e1=e	
3	mikrofilamen	m i k r o f i l a m e n	e1=e	
3	meteorologi	m e t e o r o l o ɡ i	e1=e e2=e	
3	metal	m e t a l	e1=e	
3	mesoamerika	m ə s o a m ə r i k a	e1=ə e2=ə	
3	merespons	m ə r e s p o n s	e1=ə e2=e	
3	merespon	m ə r e s p o n	e1=ə e2=e	
3	meregulasi	m ə r e ɡ u l a s i	e1=ə e2=e	
3	merebak	m ə r ə b a k	e1=ə e2=ə	
3	mentransfer	m ə n t r a n s f ə r	e1=ə e2=ə	
3	mensuplai	m ə n s u p l a j	e1=ə	
3	mengikutsertakan	m ə ŋ i k u t s e r t a k a n	e1=ə e2=e	
3	mengendarai	m ə ŋ e n d a r a j	e1=ə e2=e	
3	mengebom	m ə ŋ ə b o m	e1=ə e2=ə	
3	menetas	m ə n e t a s	e1=ə e2=e	
3	mendeteksi	m ə n d e t e k s i	e1=ə e2=e e3=e	
3	memprotes	m ə m p r o t e s	e1=ə e2=e	
3	memprediksikan	m ə m p r e d i k s i k a n	e1=ə e2=e	
3	mempawah	m ə m p a w a h	e1=ə	
3	membedah	m ə m b e d a h	e1=ə e2=e	
3	megavirus	m e ɡ a v i r u s	e1=e	
3	mee	m ə ə	e1=ə e2=ə	
3	medisinal	m e d i s i n a l	e1=e	
3	makabe	m a k a b ə	e1=ə	
3	luther	l u t h e r	e1=e	
3	litosfer	l i t o s f ə r	e1=ə	
3	lesu	l ə s u	e1=ə	
3	leksikon	l e k s i k o n	e1=e	
3	legian	l ə ɡ i a n	e1=ə	
3	langue	l a n ɡ w e	e1=e	
3	lae	l a ə	e1=ə	
3	konstelasi	k o n s t ə l a s i	e1=ə	
3	konsekuensi	k o n s ə k u e n s i	e1=ə e2=e	
3	konfusianisme	k o n f u s i a n i s m ə	e1=ə	
3	konfederasi	k o n f e d ə r a s i	e1=e e2=ə	
3	kondensasi	k o n d ə n s a s i	e1=ə	
3	kolektor	k o l e k t o r	e1=e	
3	koevolusi	k u v o l u s i	?	
3	klien	k l i ə n	e1=ə	
3	kinetika	k i n e t i k a	e1=e	
3	khmer	x m e r	e1=e	
3	ketut	k ə t u t	e1=ə	
3	kertanegara	k ə r t a n ə ɡ a r a	e1=ə e2=ə	
3	keropeng	k ə r o p e ŋ	e1=ə e2=e	
3	kerikil	k ə r i k i l	e1=ə	
3	kerdil	k ə r d i l	e1=ə	
3	kepler	k a e p e l e r	?	
3	kental	k ə n t a l	e1=ə	
3	keltik	k ə l t i k	e1=ə	
3	kate	k a t ə	e1=ə	
3	kapitalisme	k a p i t a l i s m ə	e1=ə	
3	kalianget	k a l i a ŋ ə t	e1=ə	
3	kader	k a d ə r	e1=ə	
3	joged	d͡ʒ o ɡ e d	e1=e	
3	jermanik	d͡ʒ ə r m a n i k	e1=ə	
3	jelantik	d͡ʒ ə l a n t i k	e1=ə	
3	jejaring	d͡ʒ ə d͡ʒ a r i ŋ	e1=ə	
3	intuisionisme	i n t u i s i o n i s m ə	e1=ə	
3	interaktif	i n t ə r a k t i f	e1=ə	
3	intens	i n t e n s	e1=e	
3	identifikasi	i d e n t i f i k a s i	e1=e	
3	hieroglif	h i ə r o ɡ l i f	e1=ə	
3	hidrosfer	h i d r o s f ə r	e1=ə	
3	heterodoks	h e t ə r o d o k s	e1=e e2=ə	
3	herpetologi	h e r p ə t o l o ɡ i	e1=e e2=ə	
3	heliopause	h e l i o p a u s ə	e1=e e2=ə	
3	hektar	h e k t a r	e1=e	
3	geomagnetik	ɡ e o m a ɡ n e t i k	e1=e e2=e	
3	geokimia	ɡ e o k i m i a	e1=e	
3	geografiwan	ɡ e o ɡ r a f i w a n	e1=e	
3	geograf	ɡ e o ɡ r a f	e1=e	
3	geofisika	ɡ e o f i s i k a	e1=e	
3	gentar	ɡ ə n t a r	e1=ə	
3	genomik	ɡ e n o m i k	e1=e	
3	genealogi	ɡ e n e a l o ɡ i	e1=e e2=e	
3	gencar	ɡ ə n t͡ʃ a r	e1=ə	
3	gemuruh	ɡ ə m u r u h	e1=ə	
3	gejolak	ɡ ə d͡ʒ o l a k	e1=ə	
3	filogeni	f i l o ɡ e n i	e1=e	
3	feromagnetik	f e r o m a ɡ n e t i k	e1=e e2=e	
3	europe	e u r o p ə	e1=e e2=ə	
3	eukariotik	e u k a r i o t i k	e1=e	
3	etologi	e t o l o ɡ i	e1=e	
3	etnisitas	e t n i s i t a s	e1=e	
3	etimologis	e t i m o l o ɡ i s	e1=e	
3	epik	e p i k	e1=e	
3	entomologi	e n t o m o l o ɡ i	e1=e	
3	ensefalitis	e n s e f a l i t i s	e1=e e2=e	
3	emosi	e m o s i	e1=e	
3	emigrasi	e m i ɡ r a s i	e1=e	
3	elektronika	e l e k t r o n i k a	e1=e e2=e	
3	elektrokimia	e l e k t r o k i m i a	e1=e e2=e	
3	ekabahasa	e k a b a h a s a	e1=e	
3	egaliter	ə ɡ a l i t ə r	e1=ə e2=ə	
3	ebi	ə b i	e1=ə	
3	dolmen	d o l m ə n	e1=ə	
3	ditempuh	d i t ə m p u h	e1=ə	
3	diselidiki	d i s ə l i d i k i	e1=ə	
3	disebarluaskan	d i s ə b a r l u a s k a n	e1=ə	
3	dipopulerkan	d i p o p u l e r k a n	e1=e	
3	dilembagakan	d i l ə m b a ɡ a k a n	e1=ə	
3	diinfeksi	d i i n f e k s i	e1=e	
3	dideteksi	d i d e t e k s i	e1=e e2=e	
3	didesain	d i d e s a i n	e1=e	
3	demonstrasi	d e m o n s t r a s i	e1=e	
3	definition	d e f i n i t i o n	e1=e	
3	cerdas	t͡ʃ ə r d a s	e1=ə	
3	castel	t͡ʃ a s t e l	e1=e	
3	carter	t͡ʃ a r t ə r	e1=ə	
3	brigade	b r i ɡ a d ə	e1=ə	
3	bonaparte	b o n a p a r t e	e1=e	
3	bioteknologi	b i o t e k n o l o ɡ i	e1=e	
3	betatron	b ə t a t r o n	e1=ə	
3	berebut	b ə r ə b u t	e1=ə e2=ə	
3	bercerai	b ə r t͡ʃ ə r a j	e1=ə e2=ə	
3	berau	b ə r a w	e1=ə	
3	berargumen	b ə r a r ɡ u m e n	e1=ə e2=e	
3	bentrokan	b ə n t r o k a n	e1=ə	
3	bendawi	b ə n d a w i	e1=ə	
3	beluga	b ə l u ɡ a	e1=ə	
3	belitung	b ə l i t u ŋ	e1=ə	
3	armenia	a r m e n i a	e1=e	
3	aransemen	a r a n s ə m e n	e1=ə e2=e	
3	apec	a p ə t͡ʃ	e1=ə	
3	antropometri	a n t r o p o m e t r i	e1=e	
3	antineutrino	a n t i n e u t r i n o	e1=e	
3	antepenultima	a n t ə p ə n u l t i m a	e1=ə e2=ə	
3	antarmolekul	a n t a r m o l ə k u l	e1=ə	
3	anderson	a n d ə r s o n	e1=ə	
3	amendemen	a m e n d ə m e n	e1=e e2=ə e3=e	
3	amandemen	a m a n d ə m e n	e1=ə e2=e	
3	akuifer	a k u i f ə r	e1=ə	
3	aken	a k ə n	e1=ə	
3	agresif	a ɡ r e s i f	e1=e	
2	yale	j a l e	e1=e	
2	yahweh	j a h w e h	e1=e	
2	wide	w i d ə	e1=ə	
2	weda	w ə d a	e1=ə	
2	virulensinya	v i r u l ə n s i ɲ a	e1=ə	
2	virulensi	v i r u l ə n s i	e1=ə	
2	veto	v e t o	e1=e	
2	vernakular	v ə r n a k u l a r	e1=ə	
2	venezuela	v e n ə z u e l a	e1=e e2=ə e3=e	
2	vashem	v a s h e m	e1=e	
2	use	u s ə	e1=ə	
2	unnes	u n n ə s	e1=ə	
2	ue	u ə	e1=ə	
2	turatea	t u r a t e a	e1=e	
2	trivalen	t r i v a l e n	e1=e	
2	tripel	t r i p ə l	e1=ə	
2	trigonometri	t r i ɡ o n o m e t r i	e1=e	
2	totem	t o t ə m	e1=ə	
2	tetua	t ə t u a	e1=ə	
2	tersegmentasi	t ə r s ə ɡ m e n t a s i	e1=ə e2=ə e3=e	
2	terperangkap	t ə r p ə r a ŋ k a p	e1=ə e2=ə	
2	termonuklir	t ə r m o n u k l i r	e1=ə	
2	termokimia	t ə r m o k i m i a	e1=ə	
2	terdeteksi	t ə r d e t e k s i	e1=ə e2=e e3=e	
2	tepian	t ə p i a n	e1=ə	
2	tengkorak	t ə ŋ k o r a k	e1=ə	
2	tempoh	t ə m p o h	e1=ə	
2	templat	t ə m p l a t	e1=ə	
2	tem	t ə m	e1=ə	
2	tello	t e l l o	e1=e	
2	teistik	t e i s t i k	e1=e	
2	tate	t a t e	e1=e	
2	talempong	t a l ə m p o ŋ	e1=ə	
2	tagore	t a ɡ o r e	e1=e	
2	sutera	s u t ə r a	e1=ə	
2	surveyor	s u r v e j o r	e1=e	
2	supernova	s u p ə r n o v a	e1=ə	
2	suleiman	s u l e i m a n	e1=e	
2	subseluler	s u b s ə l u l e r	e1=ə e2=e	
2	subkelas	s u b k ə l a s	e1=ə	
2	subjektivisme	s u b d͡ʒ e k t i v i s m ə	e1=e e2=ə	
2	subgenus	s u b ɡ e n u s	e1=e	
2	spionase	s p i o n a s ə	e1=ə	
2	spekulatif	s p e k u l a t i f	e1=e	
2	spektrometer	s p e k t r o m e t ə r	e1=e e2=e e3=ə	
2	sokrates	s o k r a t e s	e1=e	
2	soewarno	s u w a r n o	?	
2	soetomo	s u t o m o	?	
2	soekarnoputri	s u k a r n o p u t r i	?	
2	sinkretik	s i n k r e t i k	e1=e	
2	singapore	s i ŋ a p o r e	e1=e	
2	setar	s ə t a r	e1=ə	
2	setanisme	s e t a n i s m ə	e1=e e2=ə	
2	sertifikasi	s ə r t i f i k a s i	e1=ə	
2	serealia	s ə r e a l i a	e1=ə e2=e	
2	serdang	s ə r d a ŋ	e1=ə	
2	ser	s ə r	e1=ə	
2	sentak	s ə n t a k	e1=ə	
2	semivokal	s ə m i v o k a l	e1=ə	
2	semboyan	s ə m b o j a n	e1=ə	
2	sembada	s ə m b a d a	e1=ə	
2	selera	s ə l e r a	e1=ə e2=e	
2	selasih	s ə l a s i h	e1=ə	
2	selaparang	s e l a p a r a ŋ	e1=e	
2	seksek	s ə k s ə k	e1=ə e2=ə	
2	sekeliling	s ə k ə l i l i ŋ	e1=ə e2=ə	
2	sape	s a p ə	e1=ə	
2	rubeola	r u b e o l a	e1=e	
2	roket	r o k e t	e1=e	
2	ritter	r i t t e r	e1=e	
2	resistivitas	r e s i s t i v i t a s	e1=e	
2	reseptif	r e s e p t i f	e1=e e2=e	
2	reruntuhan	r ə r u n t u h a n	e1=ə	
2	reptilia	r e p t i l i a	e1=e	
2	remak	r ə m a k	e1=ə	
2	related	r e l a t ə d	e1=e e2=ə	
2	rekursif	r e k u r s i f	e1=e	
2	rekursi	r e k u r s i	e1=e	
2	rekoneksi	r e k o n e k s i	e1=e e2=e	
2	rekombinasi	r e k o m b i n a s i	e1=e	
2	rekombinan	r e k o m b i n a n	e1=e	
2	reklamasi	r e k l a m a s i	e1=e	
2	rekannya	r ə k a n ɲ a	e1=ə	
2	regular	r ə ɡ u l a r	e1=ə	
2	refrein	r e f r e i n	e1=e e2=e	
2	redoks	r e d o k s	e1=e	
2	rebuttal	r ə b u t t a l	e1=ə	
2	realisasi	r e a l i s a s i	e1=e	
2	reaktif	r e a k t i f	e1=e	
2	reading	r e a d i ŋ	e1=e	
2	purdue	p u r d u ə	e1=ə	
2	pubertas	p u b ə r t a s	e1=ə	
2	prototipe	p r o t o t i p ə	e1=ə	
2	prospek	p r o s p e k	e1=e	
2	primates	p r i m a t e s	e1=e	
2	prevalensinya	p r e v a l ə n s i ɲ a	e1=e e2=ə	
2	presesi	p r e s e s i	e1=e e2=e	
2	polites	p o l i t e s	e1=e	
2	polisintetik	p o l i s i n t e t i k	e1=e	
2	pledoi	p l ə d o j	e1=ə	
2	platonisme	p l a t o n i s m ə	e1=ə	
2	plasmodesmata	p l a s m o d e s m a t a	e1=e	
2	plasebo	p l a s ə b o	e1=ə	
2	pinniped	p i n n i p e d	e1=e	
2	peteng	p ə t e ŋ	e1=ə e2=e	
2	persuasif	p ə r s u a s i f	e1=ə	
2	persengketaan	p ə r s e ŋ k ə t a a n	e1=ə e2=e e3=ə	
2	perceraian	p ə r t͡ʃ ə r a i a n	e1=ə e2=ə	
2	penyerbu	p ə ɲ ə r b u	e1=ə e2=ə	
2	penumbra	p ə n u m b r a	e1=ə	
2	pengintegrasian	p ə ŋ i n t ə ɡ r a s i a n	e1=ə e2=ə	
2	penginfeksian	p ə ŋ i n f e k s i a n	e1=ə e2=e	
2	pengambilalihan	p ə ŋ a m b i l a l i h a n	e1=ə	
2	pendet	p ə n d e t	e1=ə e2=e	
2	pembedahan	p ə m b e d a h a n	e1=ə e2=e	
2	pelosok	p ə l o s o k	e1=ə	
2	pedir	p ə d i r	e1=ə	
2	pedas	p ə d a s	e1=ə	
2	paugeran	p a u ɡ ə r a n	e1=ə	
2	patrilineal	p a t r i l i n e a l	e1=e	
2	pascaperang	p a s t͡ʃ a p ə r a ŋ	e1=ə	
2	parser	p a r s ə r	e1=ə	
2	parikesit	p a r i k ə s i t	e1=ə	
2	parepare	p a r e p a r e	e1=e e2=e	
2	paramagnetik	p a r a m a ɡ n e t i k	e1=e	
2	parainfluenza	p a r a i n f l u ə n z a	e1=ə	
2	palmer	p a l m ə r	e1=ə	
2	palestinian	p a l ə s t i n i a n	e1=ə	
2	paleopatologi	p a l e o p a t o l o ɡ i	e1=e	
2	palemahan	p a l ə m a h a n	e1=ə	
2	paderi	p a d ə r i	e1=ə	
2	oseanografi	o s e a n o ɡ r a f i	e1=e	
2	orkestra	o r k ə s t r a	e1=ə	
2	observatorium	o b s ə r v a t o r i u m	e1=ə	
2	objektivisme	o b d͡ʒ e k t i v i s m ə	e1=e e2=ə	
2	nukleosida	n u k l e o s i d a	e1=e	
2	nukleon	n u k l e o n	e1=e	
2	nukleolus	n u k l e o l u s	e1=e	
2	neurologi	n e u r o l o ɡ i	e1=e	
2	neon	n e o n	e1=e	
2	neolitikum	n e o l i t i k u m	e1=e	
2	neolitik	n e o l i t i k	e1=e	
2	negatron	n ə ɡ a t r o n	e1=ə	
2	negasi	n ə ɡ a s i	e1=ə	
2	mukena	m u k ə n a	e1=ə	
2	morobe	m o r o b ə	e1=ə	
2	more	m o r e	e1=e	
2	monovalen	m o n o v a l e n	e1=e	
2	monolingualisme	m o n o l i ŋ u a l i s m ə	e1=ə	
2	moller	m o l l e r	e1=e	
2	modernis	m o d ə r n i s	e1=ə	
2	mistisisme	m i s t i s i s m ə	e1=ə	
2	minister	m i n i s t e r	e1=e	
2	metronidazol	m e t r o n i d a z o l	e1=e	
2	metonimia	m e t o n i m i a	e1=e	
2	metodologis	m e t o d o l o ɡ i s	e1=e	
2	metalurgi	m e t a l u r ɡ i	e1=e	
2	merta	m ə r t a	e1=ə	
2	merebutnya	m ə r ə b u t ɲ a	e1=ə e2=ə	
2	menyembul	m ə ɲ ə m b u l	e1=ə e2=ə	
2	menyelundupkan	m ə ɲ ə l u n d u p k a n	e1=ə e2=ə	
2	menyebarluaskan	m ə ɲ ə b a r l u a s k a n	e1=ə e2=ə	
2	mentranskripsi	m ə n t r a n s k r i p s i	e1=ə	
2	mentawai	m ə n t a w a j	e1=ə	
2	menitikberatkan	m ə n i t i k b ə r a t k a n	e1=ə e2=ə	
2	menhir	m ə n h i r	e1=ə	
2	mengoleksi	m ə ŋ o l e k s i	e1=ə e2=e	
2	mengkarakterisasikan	m ə ŋ k a r a k t ə r i s a s i k a n	e1=ə e2=ə	
2	mengesampingkan	m ə ŋ e s a m p i ŋ k a n	e1=ə e2=e	
2	mengemuka	m ə ŋ ə m u k a	e1=ə e2=ə	
2	mengelilinginya	m ə ŋ ə l i l i ŋ i ɲ a	e1=ə e2=ə	
2	mengekspor	m ə ŋ e k s p o r	e1=ə e2=e	
2	mengecualikan	m ə ŋ ə t͡ʃ u a l i k a n	e1=ə e2=ə	
2	mengecoh	m ə ŋ ə t͡ʃ o h	e1=ə e2=ə	
2	menekuni	m ə n e k u n i	e1=ə e2=e	
2	mendesain	m ə n d e s a i n	e1=ə e2=e	
2	mendedikasikan	m ə n d ə d i k a s i k a n	e1=ə e2=ə	
2	mencetuskan	m ə n t͡ʃ e t u s k a n	e1=ə e2=e	
2	menceret	m e n t͡ʃ ə r e t	e1=e e2=ə e3=e	
2	men	m ə n	e1=ə	
2	mempropagandakan	m ə m p r o p a ɡ a n d a k a n	e1=ə	
2	memprioritaskan	m ə m p r i o r i t a s k a n	e1=ə	
2	mempraktikkan	m ə m p r a k t i k k a n	e1=ə	
2	memorial	m ə m o r i a l	e1=ə	
2	memorandum	m ə m o r a n d u m	e1=ə	
2	memamerkan	m ə m a m ə r k a n	e1=ə e2=ə	
2	melewar	m ə l e w a r	e1=ə e2=e	
2	melembagakan	m ə l ə m b a ɡ a k a n	e1=ə e2=ə	
2	melegitimasi	m ə l e ɡ i t i m a s i	e1=ə e2=e	
2	mekanisasi	m e k a n i s a s i	e1=e	
2	mekanik	m e k a n i k	e1=e	
2	meh	m e h	e1=e	
2	megaton	m e ɡ a t o n	e1=e	
2	megafauna	m e ɡ a f a u n a	e1=e	
2	meditasi	m e d i t a s i	e1=e	
2	medical	m e d i t͡ʃ a l	e1=e	
2	mea	m e a	e1=e	
2	marsose	m a r s o s ə	e1=ə	
2	mandean	m a n d ə a n	e1=ə	
2	makromolekul	m a k r o m o l ə k u l	e1=ə	
2	majene	m a d͡ʒ ə n e	e1=ə e2=e	
2	magneton	m a ɡ n e t o n	e1=e	
2	magnetisme	m a ɡ n e t i s m ə	e1=e e2=ə	
2	lutheran	l u t h e r a n	e1=e	
2	loekito	l u k i t o	?	
2	literature	l i t ə r a t u r e	e1=ə e2=e	
2	leti	l e t i	e1=e	
2	lepuh	l ə p u h	e1=ə	
2	leo	l e o	e1=e	
2	lempengan	l ə m p ə ŋ a n	e1=ə e2=ə	
2	lembongan	l ə m b o ŋ a n	e1=ə	
2	lelucon	l ə l u t͡ʃ o n	e1=ə	
2	legong	l ə ɡ o ŋ	e1=ə	
2	leaman	l e a m a n	e1=e	
2	latensi	l a t e n s i	e1=e	
2	langage	l a n ɡ a ɡ ə	e1=ə	
2	kuasipartikel	k u a s i p a r t i k ə l	e1=ə	
2	kuarterner	k u a r t ə r n ə r	e1=ə e2=ə	
2	kuarter	k u a r t ə r	e1=ə	
2	kreasi	k r e a s i	e1=e	
2	koreografi	k o r e o ɡ r a f i	e1=e	
2	kooperatif	k o o p ə r a t i f	e1=ə	
2	konsensusnya	k o n s e n s u s ɲ a	e1=e	
2	kondensi	k o n d ə n s i	e1=ə	
2	komitmen	k o m i t m ə n	e1=ə	
2	komedi	k o m e d i	e1=e	
2	kolagen	k o l a ɡ e n	e1=e	
2	koheren	k o h e r ə n	e1=e e2=ə	
2	klerus	k l e r u s	e1=e	
2	klasisisme	k l a s i s i s m ə	e1=ə	
2	ketidaktahuan	k ə t i d a k t a h u a n	e1=ə	
2	ketidakadilan	k ə t i d a k a d i l a n	e1=ə	
2	ketaklengkapan	k ə t a k l ə ŋ k a p a n	e1=ə e2=ə	
2	kesalehan	k ə s a l e h a n	e1=ə e2=e	
2	keng	k ə ŋ	e1=ə	
2	kendeng	k ə n d ə ŋ	e1=ə e2=ə	
2	kendayan	k e n d a j a n	e1=e	
2	kendari	k ə n d a r i	e1=ə	
2	kencang	k ə n t͡ʃ a ŋ	e1=ə	
2	kemiliteran	k ə m i l i t ə r a n	e1=ə e2=ə	
2	kemben	k ə m b ə n	e1=ə e2=ə	
2	kelt	k ə l t	e1=ə	
2	kelembagaan	k ə l ə m b a ɡ a a n	e1=ə e2=ə	
2	kejut	k ə d͡ʒ u t	e1=ə	
2	keikutsertaan	k ə i k u t s e r t a a n	e1=ə e2=e	
2	kecerdasan	k ə t͡ʃ ə r d a s a n	e1=ə e2=ə	
2	kecemburuan	k ə t͡ʃ ə m b u r u a n	e1=ə e2=ə	
2	kebumen	k ə b u m e n	e1=ə e2=e	
2	kasepuhan	k a s ə p u h a n	e1=ə	
2	kartanegara	k a r t a n ə ɡ a r a	e1=ə	
2	karesidenan	k a r e s i d ə n a n	e1=e e2=ə	
2	kapiler	k a p i l e r	e1=e	
2	kalsel	k a l s ə l	e1=ə	
2	kadipaten	k a d i p a t e n	e1=e	
2	jure	d͡ʒ u r e	e1=e	
2	jerai	d͡ʒ ə r a i	e1=ə	
2	jepara	d͡ʒ ə p a r a	e1=ə	
2	jendral	d͡ʒ ə n d r a l	e1=ə	
2	jelai	d͡ʒ ə l a j	e1=ə	
2	jegog	d͡ʒ ə ɡ o ɡ	e1=ə	
2	jainisme	d͡ʒ a i n i s m ə	e1=ə	
2	intraseluler	i n t r a s e l u l e r	e1=e e2=e	
2	interval	i n t ə r v a l	e1=ə	
2	interogatif	i n t ə r o ɡ a t i f	e1=ə	
2	interkonversi	i n t ə r k o n v ə r s i	e1=ə e2=ə	
2	interferometer	i n t ə r f e r o m e t ə r	e1=ə e2=e e3=e e4=ə	
2	interdependensi	i n t ə r d e p e n d ə n s i	e1=ə e2=e e3=e e4=ə	
2	intelektualisme	i n t ə l e k t u a l i s m ə	e1=ə e2=e e3=ə	
2	integratif	i n t ə ɡ r a t i f	e1=ə	
2	infeksinya	i n f e k s i ɲ a	e1=e	
2	images	i m a ɡ e s	e1=e	
2	ikosahedral	i k o s a h ə d r a l	e1=ə	
2	ijambe	i d͡ʒ a m b ə	e1=ə	
2	identitasnya	i d e n t i t a s ɲ a	e1=e	
2	iatrogenik	i a t r o ɡ e n i k	e1=e	
2	hope	h o p ə	e1=ə	
2	holosen	h o l o s e n	e1=e	
2	hokkien	h o k k i e n	e1=e	
2	hipotetis	h i p o t e t i s	e1=e	
2	herbivora	h e r b i v o r a	e1=e	
2	herald	h e r a l d	e1=e	
2	hela	h ə l a	e1=ə	
2	hektare	h e k t a r ə	e1=e e2=ə	
2	he	h ə	e1=ə	
2	halmahera	h a l m a h e r a	e1=e	
2	haldane	h a l d a n e	e1=e	
2	gradien	ɡ r a d i e n	e1=e	
2	getir	ɡ ə t i r	e1=ə	
2	gestur	ɡ e s t u r	e1=e	
2	gerobak	ɡ ə r o b a k	e1=ə	
2	germanic	ɡ ə r m a n i t͡ʃ	e1=ə	
2	gerilyawan	ɡ ə r i l j a w a n	e1=ə	
2	geomorfologi	ɡ e o m o r f o l o ɡ i	e1=e	
2	geometris	ɡ e o m e t r i s	e1=e e2=e	
2	geologis	ɡ e o l o ɡ i s	e1=e	
2	geo	ɡ e o	e1=e	
2	generalis	ɡ e n ə r a l i s	e1=e e2=ə	
2	gendarmeria	ɡ ə n d a r m ə r i a	e1=ə e2=ə	
2	gempol	ɡ ə m p o l	e1=ə	
2	geminat	ɡ ə m i n a t	e1=ə	
2	gelgel	ɡ ə l ɡ ə l	e1=ə e2=ə	
2	gedang	ɡ ə d a ŋ	e1=ə	
2	galilea	ɡ a l i l e a	e1=e	
2	formalisme	f o r m a l i s m ə	e1=ə	
2	flagela	f l a ɡ ə l a	e1=ə	
2	filter	f i l t ə r	e1=ə	
2	filogenetika	f i l o ɡ e n e t i k a	e1=e e2=e	
2	fenotip	f e n o t i p	e1=e	
2	feminis	f ə m i n i s	e1=ə	
2	fellow	f ə l l o w	e1=ə	
2	fasisme	f a s i s m ə	e1=ə	
2	ezra	e z r a	e1=e	
2	eutrofikasi	e u t r o f i k a s i	e1=e	
2	etnolog	e t n o l o ɡ	e1=e	
2	essay	e s s a j	e1=e	
2	erikson	ə r i k s o n	e1=ə	
